# time totalContactTime
1005.0000 1.5000
1006.0000 5.2000
1007.0000 10.8000
1008.0000 17.6000
1009.0000 26.6000
1010.0000 37.4000
1011.0000 50.3000
1012.0000 65.4000
1013.0000 81.4000
1014.0000 97.6000
1015.0000 117.1000
1016.0000 135.3000
1017.0000 154.1000
1018.0000 175.6000
1019.0000 199.3000
1020.0000 224.4000
1021.0000 249.5000
1022.0000 275.5000
1023.0000 301.8000
1024.0000 330.4000
1025.1000 362.8000
1026.2000 394.5000
1027.3000 426.5000
1028.4000 460.3000
1029.5000 491.6000
1030.6000 521.0000
1031.7000 548.7000
1032.8000 575.1000
1033.9000 603.0000
1035.0000 632.8000
1036.1000 662.8000
1037.2000 692.9000
1038.3000 722.6000
1039.4000 753.3000
1040.5000 784.8000
1041.6000 817.5000
1042.7000 850.9000
1043.8000 882.2000
1044.9000 911.6000
1046.0000 941.5000
1047.1000 970.6000
1048.2000 999.0000
1049.3000 1027.7000
1050.4000 1055.5000
1051.5000 1083.5000
1052.6000 1113.1000
1053.7000 1141.9000
1054.8000 1171.1000
1055.9000 1199.7000
1057.0000 1228.3000
1058.1000 1258.2000
1059.2000 1288.5000
1060.3000 1319.4000
1061.4000 1350.8000
1062.5000 1382.0000
1063.6000 1414.1000
1064.7000 1445.8000
1065.8000 1475.9000
1066.9000 1506.3000
1068.0000 1536.7000
1069.1000 1567.8000
1070.2000 1600.2000
1071.3000 1632.2000
1072.4000 1664.4000
1073.5000 1696.1000
1074.6000 1727.7000
1075.7000 1759.3000
1076.8000 1792.4000
1077.9000 1827.3000
1079.0000 1861.9000
1080.1000 1896.7000
1081.2000 1932.9000
1082.3000 1968.7000
1083.4000 2003.5000
1084.5000 2037.7000
1085.6000 2071.4000
1086.7000 2104.7000
1087.8000 2137.0000
1088.9000 2168.9000
1090.0000 2201.9000
1091.1000 2234.9000
1092.2000 2266.7000
1093.3000 2297.5000
1094.4000 2327.5000
1095.5000 2356.5000
1096.6000 2385.5000
1097.7000 2410.8000
1098.8000 2434.7000
1099.9000 2458.2000
1101.0000 2480.2000
1102.1000 2500.7000
1103.2000 2520.0000
1104.3000 2539.8000
1105.4000 2559.1000
1106.5000 2578.2000
1107.6000 2596.6000
1108.7000 2613.4000
1109.8000 2631.0000
1110.9000 2649.0000
1112.0000 2666.2000
1113.1000 2683.7000
1114.2000 2701.9000
1115.3000 2721.4000
1116.4000 2741.8000
1117.5000 2763.3000
1118.6000 2784.7000
1119.7000 2804.7000
1120.8000 2825.0000
1121.9000 2844.8000
1123.0000 2864.6000
1124.1000 2883.1000
1125.2000 2900.7000
1126.3000 2919.6000
1127.4000 2938.0000
1128.5000 2955.8000
1129.6000 2975.7000
1130.7000 2998.1000
1131.8000 3020.8000
1132.9000 3042.9000
1134.0000 3065.2000
1135.1000 3088.1000
1136.2000 3112.4000
1137.3000 3138.0000
1138.4000 3166.8000
1139.5000 3196.5000
1140.6000 3225.8000
1141.7000 3254.5000
1142.8000 3280.5000
1143.9000 3305.8000
1145.0000 3331.4000
1146.1000 3357.7000
1147.2000 3384.3000
1148.3000 3409.6000
1149.4000 3435.7000
1150.5000 3463.5000
1151.6000 3490.4000
1152.7000 3518.1000
1153.8000 3546.8000
1154.9000 3578.3000
1156.0000 3611.0000
1157.1000 3643.5000
1158.2000 3677.4000
1159.3000 3709.0000
1160.4000 3739.0000
1161.5000 3770.1000
1162.6000 3802.3000
1163.7000 3833.4000
1164.8000 3864.2000
1165.9000 3895.5000
1167.0000 3927.4000
1168.1000 3959.6000
1169.2000 3991.3000
1170.3000 4023.4000
1171.4000 4052.6000
1172.5000 4080.6000
1173.6000 4108.3000
1174.7000 4135.3000
1175.8000 4165.0000
1176.9000 4197.4000
1178.0000 4228.7000
1179.1000 4260.8000
1180.2000 4294.5000
1181.3000 4327.7000
1182.4000 4360.0000
1183.5000 4392.0000
1184.6000 4423.3000
1185.7000 4454.1000
1186.8000 4484.9000
1187.9000 4515.3000
1189.0000 4545.6000
1190.1000 4575.9000
1191.2000 4607.7000
1192.3000 4641.2000
1193.4000 4675.0000
